id_бронирования;id_гостя;id_номера;дата_заезда;дата_выезда;статус;сумма
1;1;1;01.06.2025;05.06.2025;Завершено;10000
2;2;3;05.06.2025;10.06.2025;Активно;17500
3;3;2;10.06.2025;15.06.2025;Подтверждено;12500
4;4;5;12.06.2025;18.06.2025;Активно;27000
5;5;4;15.06.2025;20.06.2025;Подтверждено;17500
6;1;6;20.06.2025;25.06.2025;Подтверждено;30000
7;2;7;22.06.2025;28.06.2025;Подтверждено;54000
8;3;8;25.06.2025;30.06.2025;Подтверждено;45000
9;4;10;28.06.2025;05.07.2025;Подтверждено;35000
10;5;9;01.07.2025;07.07.2025;Подтверждено;90000
